Total Electricity Consumption (A),Total Fuel Consumption (B),Energy Consumption Through Other Sources (C),Total Energy Consumption (A+B+C),Total Renewable Energy Consumption,Total Non-Renewable Energy Consumption,Energy Intensity,File Name,ATTACHMENT_x,ATTACHMENT_y
695.0,7952.0,0.0,,,,1.0,Arman_Financial_Services_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ARMANFIN_05092024160331_BRSR_Covering.pdf
52917.0,8488.0,,,,,2.0,Artemis_Medicare_Services_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ARTEMISMED_01072024180334_Business_Responsibility_Sustainability_Report.pdf
4320.0,10.0,,,,,,Arvind_Fashions_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ARVINDFASN_24072024205912_Intimation_BRSR.pdf
,,,,,,,ARVIND_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ARVIND1_09072024150224_4_BRSR_CL.pdf
8121.0,2766.0,,,,,32.42,Arvind_SmartSpaces_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/539301_27062024172706_ASLBRSR2024.pdf
824339.0,3030824.0,23.0,3855163.0,,,7.033,Asahi_India_Glass_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ASAHIINDIA_13082024194211_MR.pdf
172874.94,675313.57,,33895.9,,,1.1435,ASHAPURA_MINECHEM_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ASHAPURMIN_05092024182151_BRSR20232024.pdf
6686578800000.0,194468400000.0,,6881047200000.0,,,786.83,ASHIANA_HOUSING_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ASHIANA_16092024172511_BRSRNSE2024SIGNED.pdf
55370.03,1013951.59,,,,,1220.59,ASHOKA_BUILDCON_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ASHOKA_05092024213022_ABL_BRSR_23_24_AGM_Reg34.pdf
0.0,0.0,0.0,,,,581.05,Ashok_Leyland_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ASHOKLEY_03072024122054_BRSR.pdf
65.8,853773.0,,,,,3.0,Asian_Paints_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ASIANPAINT_31052024190858_SEIntimationBRSRFilingfinalsigned.pdf
281529.0,190406.0,,,,,38.12,ASK_Automotive_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/8448091598_27072024200948_BusinessResponsibilityandSustainabilityReportFY202324.pdf
77186484.0,202231195.0,,,,,50851.0,ASTEC_LIFESCIENCES_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ASTEC_04072024211716_BSENSENoticeofAGM.pdf
217474.0,94423.0,0.0,,,,94.5,Aster_DM_Healthcare_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ASTERDM2_07082024140453_tofilebrsr.pdf
446089.94,68233.05,0.0,,,,6.0,Astral_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ASTRAL_25072024232126_BRSRSigned.pdf
1446.48,5191.0,0.0,,,,0.08,AstraZeneca_Pharma_India_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ASTRAZEN_27072024154755_AZPIL_BRSR_2024.pdf
13676.97,1396.26,,,,,5.11162e-05,ASTRA_MICROWAVE_PRODUCTS_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ASTRAMICRO_02082024153227_AstraBRSRReport02082024.pdf
315711.0,9088318.0,,,,,20.93,Atul_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ATUL1_13072024160024_BRSR.pdf
3339113.08,56176.73,,,,,0.0086,Aurionpro_Solutions_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AURIONPRO91_04092024200336_ASL_BRSR_SE_2023_24.pdf
2336596.0,4682678.0,,,,,1.0,Aurobindo_Pharma_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AUROPHARMA_05082024190709_LtrToSEsBRSR0582024.pdf
,,,,,,1.0,Authum_Investment_&_Infrastructure_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/Authum123_06092024163346_SE_Intimation_BRSR_Upload.pdf
68483.6,8281.9,,,,,1.17e-05,AUTOLINE_INDUSTRIES_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AUTOIND_06092024141612_BRSRwithCoveringLettersd.pdf
31267501.0,109064326.0,0.0,74548800.0,,,43.0,Automotive_Axles_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AUTOAXLES_13072024144106_CoverBRSR12072024.pdf
42771.0,910.0,0.0,43681.0,,,52.74,Automotive_Stampings_and_Assemblies_Limited_2022.0.pdf,,https://nsearchives.nseindia.com/corporate/ASAL_15062024221913_ASALBRSRIntimation.pdf
42771.0,910.0,0.0,43681.0,,,52.74,Automotive_Stampings_and_Assemblies_Limited_2022.0.pdf,,https://nsearchives.nseindia.com/corporate/ASAL_23012024115702_Intimation.pdf
39595.0,5317.0,,,,,0.0001319,Automotive_Stampings_and_Assemblies_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ASAL_15062024221913_ASALBRSRIntimation.pdf
39595.0,5317.0,,,,,0.0001319,Automotive_Stampings_and_Assemblies_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ASAL_23012024115702_Intimation.pdf
2474.1,3271.7,,,,,13.2,Avadh_Sugar_&_Energy_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AVADHSUGAR_15072024131312_AVADH_BRSR.pdf
12405225.6,383648000.0,,,,,199.2,Avalon_Technologies_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AVALON2022_31082024192509_AVALONBRSR2324.pdf
